assay.id,petri.id,year,month,company,farm,drug,date,rep,conc,time,stage,sex,prop.alive,prev.emb,live
1,15,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,62.5,0,both,male,1,0,1
1,15,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,62.5,0,both,male,1,0,1
1,15,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,62.5,0,both,male,1,0,1
1,15,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,62.5,0,both,male,1,0,1
1,15,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,62.5,0,both,male,1,0,1
1,15,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,62.5,0,both,male,1,0,1
1,15,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,62.5,0,both,male,1,0,1
1,15,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,62.5,0,both,male,1,0,1
1,15,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,62.5,0,both,male,1,0,1
1,15,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,62.5,0,both,male,1,0,1
1,16,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,125,0,both,male,0.5,0,1
1,16,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,125,0,both,male,0.5,0,1
1,16,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,125,0,both,male,0.5,0,1
1,16,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,125,0,both,male,0.5,0,1
1,16,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,125,0,both,male,0.5,0,1
1,16,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,125,0,both,male,0.5,0,0
1,16,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,125,0,both,male,0.5,0,0
1,16,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,125,0,both,male,0.5,0,0
1,16,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,125,0,both,male,0.5,0,0
1,16,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,125,0,both,male,0.5,0,0
1,17,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,250,0,both,male,0,0,0
1,17,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,250,0,both,male,0,0,0
1,17,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,250,0,both,male,0,0,0
1,17,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,250,0,both,male,0,0,0
1,17,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,250,0,both,male,0,0,0
1,17,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,250,0,both,male,0,0,0
1,17,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,250,0,both,male,0,0,0
1,17,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,250,0,both,male,0,0,0
1,17,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,250,0,both,male,0,0,0
1,17,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,250,0,both,male,0,0,0
1,18,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,500,0,both,male,0,0,0
1,18,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,500,0,both,male,0,0,0
1,18,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,500,0,both,male,0,0,0
1,18,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,500,0,both,male,0,0,0
1,18,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,500,0,both,male,0,0,0
1,18,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,500,0,both,male,0,0,0
1,18,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,500,0,both,male,0,0,0
1,18,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,500,0,both,male,0,0,0
1,18,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,500,0,both,male,0,0,0
1,18,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,500,0,both,male,0,0,0
1,19,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,0,0,both,male,0.8,0,1
1,19,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,0,0,both,male,0.8,0,1
1,19,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,0,0,both,male,0.8,0,1
1,19,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,0,0,both,male,0.8,0,1
1,19,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,0,0,both,male,0.8,0,1
1,19,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,0,0,both,male,0.8,0,1
1,19,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,0,0,both,male,0.8,0,1
1,19,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,0,0,both,male,0.8,0,1
1,19,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,0,0,both,male,0.8,0,0
1,19,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,0,0,both,male,0.8,0,0
1,20,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,31.3,0,both,male,0.583333333333333,0,1
1,20,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,31.3,0,both,male,0.583333333333333,0,1
1,20,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,31.3,0,both,male,0.583333333333333,0,1
1,20,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,31.3,0,both,male,0.583333333333333,0,1
1,20,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,31.3,0,both,male,0.583333333333333,0,1
1,20,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,31.3,0,both,male,0.583333333333333,0,1
1,20,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,31.3,0,both,male,0.583333333333333,0,1
1,20,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,31.3,0,both,male,0.583333333333333,0,0
1,20,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,31.3,0,both,male,0.583333333333333,0,0
1,20,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,31.3,0,both,male,0.583333333333333,0,0
1,20,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,31.3,0,both,male,0.583333333333333,0,0
1,20,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,31.3,0,both,male,0.583333333333333,0,0
1,21,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,62.5,0,both,male,1,0,1
1,21,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,62.5,0,both,male,1,0,1
1,21,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,62.5,0,both,male,1,0,1
1,21,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,62.5,0,both,male,1,0,1
